Word,Definition,PoS1,PoS2,PoS3,PoS4,PoS5,PoS6,PoS7,PoS8,PoS9,N_senses,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc,Concreteness_M,RT_correct_mean,RT_correct_std,Rank_L2,Rank_L1,Diff_L1_L2,Word_length,Phonetics_length,N_syllables,N_morphemes,N_suffixes,Prefix_length,Suffix_length,Prefix_famsize,Suffix_famsize,Root_famsize
jockey,To jostle by riding against one.,0,0,0,0,0,0,0,0,1,5,1,2,0,0,2544228,239,4.68627451,150,3.9337,121,0.0135,62,2.0014,61,302,8.5756,295,0.0292,4.59,1154.444444,795.5266718,11497,4186,7311,6,9,2,1,0,0,0,0,0,1
equivocal,Having two significations equally applicable; capable of double interpretation; of doubtful meaning; ambiguous; uncertain.,1,0,0,0,0,0,0,0,0,3,1,0,0,1,181808,8,0.156862745,7,0.1836,7,0.0008,1,0.0323,1,4,0.1136,4,0.0004,1.79,1463.455556,832.4872628,29442,22651,6791,9,13,4,3,1,0,2,0,1431,73
hunchback,A back with a hunch or hump; also a hunchbacked person.,0,0,0,0,1,0,0,0,0,2,2,2,0,0,272939,48,0.941176471,12,0.3147,12,0.0013,10,0.3228,10,6,0.1704,5,0.0005,4.32,1263.26776,668.2850607,32908,8322,24586,9,12,2,2,0,0,0,0,0,71
batter,A backward slope in the face of a wall or of a bank; receding slope.,0,0,0,0,1,0,0,0,0,5,1,2,2,0,1676822,113,2.215686275,897,23.5237,694,0.0772,138,4.4547,133,548,15.561,496,0.0491,4.41,1400.268293,1063.023768,25826,6926,18900,6,7,2,1,0,0,0,0,0,1
bladder,A bag or sac in animals which serves as the receptacle of some fluid.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,3621454,202,3.960784314,194,5.0876,165,0.0183,73,2.3565,70,97,2.7544,81,0.008,4.48,1058.643902,616.3196944,25338,9196,16142,7,8,2,1,0,0,0,0,0,2
wallet,A bag or sack for carrying about the person as a bag for carrying the necessaries for a journey; a knapsack; a beggar's receptacle for charity; a peddler's pack.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,6097891,1149,22.52941176,368,9.6507,336,0.0374,410,13.2351,404,302,8.5756,285,0.0282,4.81,1007.331818,519.7996575,6623,352,6271,6,8,2,1,0,0,0,0,0,1
pod,A bag; a pouch.,0,0,0,0,1,0,0,0,0,6,3,4,2,0,5206411,405,7.941176471,310,8.1297,248,0.0276,122,3.9383,115,77,2.1865,75,0.0074,4.63,1173.466667,708.3930948,20078,8222,11856,3,6,1,1,0,0,0,0,0,17
fireball,A ball filled with powder or other combustibles intended to be thrown among enemies and to injure by explosion; also to set fire to their works and light them up so that movements may be seen.,0,0,0,0,1,0,0,0,0,4,2,4,1,0,845925,71,1.392156863,41,1.0752,37,0.0041,32,1.033,29,43,1.221,42,0.0042,4.32,1082.190283,577.9736753,5324,1669,3655,8,13,2,2,0,0,0,0,0,78
mound,A ball or globe forming part of the regalia of an emperor or other sovereign. It is encircled with bands enriched with precious stones and surmounted with a cross; -- called also globe.,0,0,0,0,1,0,0,0,0,6,5,5,3,0,2259654,77,1.509803922,165,4.3271,146,0.0162,138,4.4547,136,593,16.8388,586,0.058,4.63,1189.878788,800.8330208,37940,9231,28709,5,9,1,1,0,0,0,0,0,1
fielder,A ball payer who stands out in the field to catch or stop balls.,0,0,0,0,1,0,0,0,0,2,1,2,2,0,856041,28,0.549019608,40,1.049,38,0.0042,142,4.5839,140,835,23.7106,757,0.0749,3.89,1584.33908,1037.786008,31977,21421,10556,7,9,2,2,1,0,2,0,2274,21
chorus,A band of singers and dancers.,0,0,0,0,1,0,0,0,0,7,3,5,3,0,6994116,307,6.019607843,383,10.0441,351,0.039,236,7.6183,229,475,13.4881,437,0.0433,4.03,1052.477551,657.4284139,9371,8811,560,6,9,2,1,0,0,0,0,0,1
girth,A band or strap which encircles the body; especially one by which a saddle is fastened upon the back of a horse.,0,0,0,0,1,0,0,0,0,4,1,2,1,0,492919,22,0.431372549,27,0.7081,27,0.003,8,0.2582,8,28,0.7951,26,0.0026,3.48,1151.53271,676.8548703,42057,18260,23797,5,7,1,1,0,0,0,0,0,1
garter,A band used to prevent a stocking from slipping down on the leg.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1004872,66,1.294117647,56,1.4686,44,0.0049,8,0.2582,7,13,0.3691,13,0.0013,4.78,1352.596154,881.2736317,46198,22719,23479,6,8,2,1,0,0,0,0,0,1
snowdrift,A bank of drifted snow.,0,0,0,0,1,0,0,0,0,1,0,1,0,0,37569,9,0.176470588,3,0.0787,3,0.0003,3,0.0968,3,2,0.0568,2,0.0002,4.78,1416.943396,757.3803296,20691,17223,3468,9,13,2,2,0,0,0,0,0,25
crowbar,A bar of iron sharpened at one end and used as a lever.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,249090,64,1.254901961,14,0.3671,14,0.0016,10,0.3228,10,10,0.284,10,0.001,4.87,1214.777778,816.2640466,32503,1247,31256,7,11,2,2,0,0,0,0,0,24
yoke,A bar or frame of wood by which two oxen are joined at the heads or necks for working together.,0,0,0,0,1,0,0,0,0,10,2,7,2,1,1068387,22,0.431372549,90,2.3602,81,0.009,21,0.6779,20,9,0.2556,9,0.0009,4.83,1271.940171,741.1832954,41828,20890,20938,4,8,1,1,0,0,0,0,0,1
yap,A bark; a yelp.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,665660,52,1.019607843,32,0.8392,30,0.0033,20,0.6456,16,4,0.1136,4,0.0004,2.96,1545.561983,895.8304703,40718,32057,8661,3,6,1,1,0,0,0,0,0,1
bartender,A barkeeper.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1209797,337,6.607843137,213,5.5859,187,0.0208,324,10.459,317,245,6.957,234,0.0232,4.82,1106.991111,661.7091236,12378,11493,885,9,11,3,3,1,0,2,0,2274,38
baroness,A baron's wife; also a lady who holds the baronial title in her own right.,0,0,0,0,1,0,0,0,0,1,0,1,0,0,869484,127,2.490196078,40,1.049,37,0.0041,7,0.226,6,13,0.3691,12,0.0012,3.92,1357.096939,757.44561,26673,27509,-836,8,12,3,2,1,0,3,0,43,6
railing,A barrier made of a rail or of rails.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,837646,73,1.431372549,82,2.1504,78,0.0087,29,0.9361,29,111,3.1519,103,0.0102,4.79,1203.412621,748.1468811,21137,4095,17042,7,10,2,1,0,0,0,0,0,12
frail,A basket made of rushes used chiefly for containing figs and raisins.,0,0,0,0,1,0,0,0,0,5,2,2,0,1,696174,81,1.588235294,108,2.8323,108,0.012,18,0.5811,18,84,2.3853,84,0.0083,2.55,1144.182432,654.9782884,33652,5638,28014,5,9,1,1,0,0,0,0,0,4
wastebasket,A basket used in offices libraries etc. as a receptacle for waste paper.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,152771,30,0.588235294,8,0.2098,8,0.0009,2,0.0646,2,4,0.1136,4,0.0004,4.63,1807.471616,1199.402148,17677,22885,-5208,11,16,3,2,0,0,0,0,0,17
haven,A bay recess or inlet of the sea or the mouth of a river which affords anchorage and shelter for shipping; a harbor; a port.,0,0,0,0,1,0,0,0,0,2,2,2,1,0,10569212,182,3.568627451,7442,195.1651,7108,0.7904,8973,289.6554,8916,3415,96.972,3295,0.3262,3.38,1271.90991,778.9340965,14486,4791,9695,5,10,2,1,0,0,0,0,0,1
sunbeam,A beam or ray of the sun.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1051656,17,0.333333333,14,0.3671,13,0.0014,9,0.2905,9,19,0.5395,19,0.0019,4.48,1329.29703,958.7543021,20033,13510,6523,7,10,2,2,0,0,0,0,0,47
throb,A beat or strong pulsation as of the heart and arteries; a violent beating; a papitation:,0,0,0,0,1,0,0,0,0,5,1,2,1,0,212889,9,0.176470588,29,0.7605,29,0.0032,11,0.3551,9,9,0.2556,9,0.0009,2.96,1175.810976,616.7031439,35889,10381,25508,5,7,1,1,0,0,0,0,0,2
tattoo,A beat of drum or sound of a trumpet or bugle at night giving notice to soldiers to retreat or to repair to their quarters in garrison or to their tents in camp.,0,0,0,0,1,0,0,0,0,4,0,3,0,0,6839828,600,11.76470588,361,9.4672,306,0.034,1251,40.3832,1207,343,9.7398,316,0.0313,4.71,898.5196507,357.5347312,1159,261,898,6,8,2,1,0,0,0,0,0,2
pulsation,A beating or throbbing especially of the heart or of an artery or in an inflamed part; a beat of the pulse.,0,0,0,0,1,0,0,0,0,3,2,3,1,0,178020,3,0.058823529,4,0.1049,4,0.0004,2,0.0646,2,2,0.0568,2,0.0002,3.21,1213.065844,587.9419595,15231,28751,-13520,9,13,3,2,1,0,3,0,1599,24
bedding,A bed and its furniture; the materials of a bed whether for man or beast; bedclothes; litter.,0,0,0,0,1,0,0,0,0,2,2,2,1,1,10608944,23,0.450980392,175,4.5893,151,0.0168,41,1.3235,40,89,2.5272,88,0.0087,4.61,1221.862069,593.1550735,20385,7950,12435,7,8,2,1,0,0,0,0,0,34
