Word,PoS,N_senses,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc,Concreteness_M,RT_correct_mean,RT_correct_std,Rank_L2,Rank_L1,Diff_L1_L2,Word_length,Phonetics_length,N_syllables,N_morphemes,N_suffixes,Prefix_length,Suffix_length,Prefix_famsize,Suffix_famsize,Root_famsize,Level
abandon,verb,7,4,3,3,0,2747961,395,7.745098039,360,9.4409,350,0.0389,118,3.8091,116,299,8.4904,296,0.0293,2.54,1115.408889,687.881986,7522,4164,3358,7,10,3,1,0,0,0,0,0,2,b2
ability,noun,2,1,2,2,2,52004289,975,19.11764706,3418,89.6365,3194,0.3552,1195,38.5755,1169,3491,99.1301,3395,0.3361,1.81,980.718254,537.4146203,3106,6070,-2964,7,11,4,2,1,0,3,0,580,11,a2
able,adjective,4,2,0,0,1,109389038,8148,159.7647059,14546,381.4663,13481,1.4991,5197,167.7632,5154,9321,264.6782,8916,0.8826,2.38,932.75,389.1211156,5488,1798,3690,4,10,2,1,0,0,0,0,0,11,a2
abolish,verb,1,1,0,1,1,912065,24,0.470588235,83,2.1767,78,0.0087,32,1.033,31,99,2.8112,90,0.0089,2.19,1172.008403,751.6490057,16667,9315,7352,7,9,3,1,0,0,0,0,0,3,c1
abortion,noun,2,1,2,1,0,9397315,370,7.254901961,538,14.109,432,0.048,184,5.9397,179,740,21.013,639,0.0633,3.41,1008.352174,456.0608463,5309,3810,1499,8,10,3,2,1,0,3,0,1599,5,c1
about,adverb,7,6,0,0,0,1226734006,20769,407.2352941,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,89695,2546.9708,80193,7.938,1.77,882.9333333,470.036351,230,52,178,5,9,2,1,0,0,0,0,0,10,a1
about,preposition,7,0,0,0,0,1226734006,164260,3220.784314,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,89695,2546.9708,80193,7.938,1.77,882.9333333,470.036351,230,52,178,5,9,2,1,0,0,0,0,0,10,a1
above,adverb,4,2,0,0,2,141894620,608,11.92156863,8776,230.1491,8296,0.9225,1276,41.1903,1265,3579,101.6289,3470,0.3435,3.33,846.6008969,317.4310273,1191,1816,-625,5,7,2,1,0,0,0,0,0,3,a1
above,preposition,4,0,0,0,0,141894620,1770,34.70588235,8776,230.1491,8296,0.9225,1276,41.1903,1265,3579,101.6289,3470,0.3435,3.33,846.6008969,317.4310273,1191,1816,-625,5,7,2,1,0,0,0,0,0,3,a1
abroad,adverb,3,2,0,0,0,14837382,250,4.901960784,583,15.2891,544,0.0605,339,10.9432,330,542,15.3906,527,0.0522,2.72,1025.12782,557.7470099,2955,6437,-3482,6,9,2,1,0,0,0,0,0,1,a2
absence,noun,4,1,4,3,2,14681896,321,6.294117647,760,19.9309,737,0.082,250,8.0702,248,788,22.376,780,0.0772,2.31,1071.379061,578.8715071,4192,8534,-4342,7,9,2,1,0,0,0,0,0,1,c1
absolute,adjective,7,2,0,0,1,16198563,578,11.33333333,1292,33.8825,1248,0.1388,527,17.012,522,363,10.3077,356,0.0352,1.81,1015.217391,516.8038414,523,8121,-7598,8,12,3,1,0,0,0,0,0,5,b2
absolutely,adverb,1,1,0,0,0,20816571,5756,112.8627451,4013,105.2402,3916,0.4355,3846,124.1519,3823,1606,45.6038,1581,0.1565,1.97,1051.155556,533.2910186,321,5589,-5268,10,14,4,2,1,0,2,0,2898,5,b1
absorb,verb,9,6,7,6,1,2378096,102,2,279,7.3167,271,0.0301,76,2.4533,76,278,7.8941,272,0.0269,3.11,974.9262295,438.7458589,7896,869,7027,6,9,2,2,0,2,0,24,0,8,b2
absurd,adjective,3,1,0,0,0,2148981,494,9.68627451,373,9.7819,349,0.0388,189,6.1011,186,228,6.4743,222,0.022,1.64,985.7434944,606.024011,6155,5514,641,6,9,2,1,0,0,0,0,0,3,c1
abundance,noun,3,1,3,1,1,4870991,45,0.882352941,480,12.5879,447,0.0497,165,5.3263,160,201,5.7076,200,0.0198,2.21,1104.682692,625.2512888,14077,7329,6748,9,11,3,2,1,0,4,0,323,6,c1
academic,adjective,4,1,0,0,0,54886061,235,4.607843137,921,24.1531,822,0.0914,600,19.3685,589,1556,44.184,1481,0.1466,2.11,956.313253,446.9950186,1875,6566,-4691,8,12,4,2,1,0,2,0,1014,5,b1
academic,noun,4,1,1,1,0,54886061,2,0.039215686,921,24.1531,822,0.0914,600,19.3685,589,1556,44.184,1481,0.1466,2.11,956.313253,446.9950186,1875,6566,-4691,8,12,4,2,1,0,2,0,1014,5,b2
academy,noun,4,1,4,2,0,29252165,633,12.41176471,638,16.7314,594,0.0661,653,21.0793,642,2300,65.3106,2117,0.2096,4.29,935.172,467.4048476,1864,2082,-218,7,10,4,2,1,0,1,0,2486,5,c1
accelerate,verb,2,2,2,1,2,3199272,65,1.274509804,94,2.4651,91,0.0101,42,1.3558,42,179,5.0829,178,0.0176,3.48,1178.753731,805.5197074,3655,1048,2607,10,15,4,3,1,1,3,309,937,8,c1
accept,verb,11,7,10,6,3,43171429,2692,52.78431373,2596,68.0796,2398,0.2667,1336,43.1271,1283,1539,43.7013,1502,0.1487,3.03,846.122549,326.3904243,414,7491,-7077,6,9,2,1,0,0,0,0,0,7,a2
acceptable,adjective,4,1,0,0,1,14590887,269,5.274509804,772,20.2456,737,0.082,383,12.3635,378,381,10.8188,374,0.037,1.93,1022.447964,520.6219299,3556,5440,-1884,10,14,4,2,1,0,4,0,872,7,b2
acceptance,noun,7,4,7,4,1,36864919,162,3.176470588,651,17.0724,614,0.0683,273,8.8127,272,308,8.7459,300,0.0297,2.21,1101.318182,570.7613026,5903,13073,-7170,10,12,3,2,1,0,4,0,323,7,c1
access,noun,8,4,6,5,0,217986984,1318,25.84313725,2645,69.3647,2436,0.2709,1941,62.657,1886,3609,102.4808,3446,0.3411,2.71,877.75,284.0075765,2832,2244,588,6,8,2,1,0,0,0,0,0,8,b1
access,verb,8,1,2,1,0,217986984,283,5.549019608,2645,69.3647,2436,0.2709,1941,62.657,1886,3609,102.4808,3446,0.3411,2.71,877.75,284.0075765,2832,2244,588,6,8,2,1,0,0,0,0,0,8,b1
accessible,adjective,4,1,0,0,1,18695403,56,1.098039216,488,12.7977,478,0.0532,221,7.1341,219,568,16.1289,559,0.0553,1.8,1076.844697,662.5290312,3719,2428,1291,10,13,4,2,1,0,4,0,872,8,c1
accident,noun,2,1,2,2,0,18699760,4138,81.1372549,1182,30.9977,1098,0.1221,952,30.7313,940,1915,54.3782,1817,0.1799,3.26,968.3552239,563.2800824,1963,1739,224,8,11,3,1,0,0,0,0,0,3,a2
accommodate,verb,7,6,6,3,1,7002915,108,2.117647059,311,8.1559,306,0.034,73,2.3565,72,619,17.5771,611,0.0605,1.86,1217.356275,744.5806935,7551,9986,-2435,11,14,4,1,0,0,0,0,0,2,b2
accommodation,noun,6,1,6,4,0,60589803,48,0.941176471,235,6.1628,205,0.0228,11,0.3551,11,54,1.5334,52,0.0051,2.96,1212.303846,700.1299962,7524,2696,4828,13,16,5,2,1,0,3,0,1599,2,b1
accompany,verb,4,3,3,2,0,3439497,242,4.745098039,298,7.815,294,0.0327,51,1.6463,51,207,5.878,206,0.0204,3.07,1187.905738,773.4431351,9409,1418,7991,9,11,4,3,1,1,1,309,2486,9,b2
accomplish,verb,2,2,2,2,0,6091676,298,5.843137255,740,19.4064,713,0.0793,472,15.2365,467,465,13.2041,451,0.0446,2.33,1066.282686,685.9239392,7266,11121,-3855,10,11,3,1,0,0,0,0,0,2,b2
accordance,noun,2,2,2,0,0,25194680,10,0.196078431,213,5.5859,204,0.0227,13,0.4197,13,84,2.3853,84,0.0083,1.54,1242.098131,726.325749,12599,13235,-636,10,11,3,2,1,0,4,0,323,3,c1
accordingly,adverb,1,1,0,0,0,8960086,93,1.823529412,378,9.913,375,0.0417,104,3.3572,104,170,4.8273,170,0.0168,1.58,1184.622807,724.9434478,11666,7032,4634,11,12,4,2,1,0,2,0,2898,3,c1
account,noun,14,8,10,7,0,203611349,1587,31.11764706,2774,72.7477,2472,0.2749,4995,161.2425,4846,2793,79.3098,2617,0.259,3.08,905.9835391,363.3482946,215,5927,-5712,7,10,2,1,0,0,0,0,0,8,b1
account,verb,14,3,3,1,0,203611349,335,6.568627451,2774,72.7477,2472,0.2749,4995,161.2425,4846,2793,79.3098,2617,0.259,3.08,905.9835391,363.3482946,215,5927,-5712,7,10,2,1,0,0,0,0,0,8,b2
accountant,noun,1,1,1,1,0,4289265,315,6.176470588,129,3.383,120,0.0133,100,3.2281,97,204,5.7928,191,0.0189,4.41,1214.948498,754.3168906,4900,5181,-281,10,13,3,2,1,0,3,0,464,8,b2
accumulate,verb,2,2,2,2,0,1715457,29,0.568627451,110,2.8847,108,0.012,29,0.9361,29,89,2.5272,89,0.0088,3,1082.564394,564.6116095,4389,7067,-2678,10,17,4,3,1,1,3,309,937,8,c1
accuracy,noun,2,1,2,1,1,29536020,76,1.490196078,323,8.4706,307,0.0341,77,2.4856,76,269,7.6385,260,0.0257,1.85,979.9917012,453.6250011,8872,6254,2618,8,11,4,2,1,0,3,0,38,6,b2
accurate,adjective,2,1,0,0,1,25144477,398,7.803921569,895,23.4712,854,0.095,396,12.7832,395,634,18.003,622,0.0616,1.9,957.695279,458.2797264,4892,6200,-1308,8,10,3,2,1,0,3,0,937,6,b2
