words,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,lowest_level
a,1,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a1
about,5,9,2,1,0,1,0,0,0,0,0,10,a1
above,5,7,2,1,0,1,0,0,0,0,0,3,a1
across,6,8,2,1,0,1,0,0,0,0,0,1,a1
action,6,8,2,2,0,1,1,0,3,0,1599,59,a1
activity,8,11,4,3,0,1,2,0,6,0,1160,59,a1
actor,5,7,2,2,0,1,1,0,2,0,289,59,a1
actress,7,9,2,2,0,1,1,0,3,0,43,59,a1
add,3,5,1,1,0,1,0,0,0,0,0,5,a1
address,7,#N/A,#N/A,1,0,1,0,0,0,0,0,4,a1
adult,5,8,2,1,0,1,0,0,0,0,0,2,a1
advice,6,10,2,1,0,1,0,0,0,0,0,1,a1
afraid,6,10,2,1,0,1,0,0,0,0,0,2,a1
after,5,8,2,1,0,1,0,0,0,0,0,5,a1
afternoon,9,#N/A,#N/A,2,1,1,0,5,0,11,0,5,a1
again,5,7,2,1,0,1,0,0,0,0,0,1,a1
age,3,9,1,1,0,1,0,0,0,0,0,7,a1
ago,3,8,2,1,0,1,0,0,0,0,0,2,a1
agree,5,8,2,1,0,1,0,0,0,0,0,10,a1
air,3,6,1,1,0,1,0,0,0,0,0,49,a1
airport,7,10,2,2,0,2,0,0,0,0,0,89,a1
all,3,6,1,1,0,1,0,0,0,0,0,6,a1
also,4,9,2,1,0,1,0,0,0,0,0,1,a1
always,6,11,2,1,0,1,0,0,0,0,0,1,a1
amazing,7,11,3,1,0,1,0,0,0,0,0,3,a1
and,3,6,1,1,0,1,0,0,0,0,0,1,a1
angry,5,8,2,1,0,1,0,0,0,0,0,4,a1
animal,6,10,3,1,0,1,0,0,0,0,0,3,a1
another,7,8,3,1,0,1,0,0,0,0,0,1,a1
answer,6,8,2,1,0,1,0,0,0,0,0,5,a1
any,3,6,2,1,0,1,0,0,0,0,0,9,a1
anyone,6,10,3,2,0,2,0,0,0,0,0,18,a1
anything,8,10,3,2,0,2,0,0,0,0,0,18,a1
apartment,9,12,3,2,0,1,1,0,4,0,288,2,a1
apple,5,8,2,1,0,1,0,0,0,0,0,5,a1
april,5,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
area,4,10,3,1,0,1,0,0,0,0,0,2,a1
arm,3,6,1,1,0,1,0,0,0,0,0,22,a1
around,6,10,2,1,0,1,0,0,0,0,0,2,a1
arrive,6,9,2,1,0,1,0,0,0,0,0,2,a1
art,3,6,1,1,0,1,0,0,0,0,0,18,a1
article,7,11,3,1,0,1,0,0,0,0,0,1,a1
artist,6,9,2,2,0,1,1,0,3,0,462,18,a1
as,2,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a1
ask,3,7,1,1,0,1,0,0,0,0,0,2,a1
at,2,5,#N/A,1,0,1,0,0,0,0,0,2,a1
august,6,#N/A,#N/A,1,0,1,0,0,0,0,0,2,a1
aunt,4,7,1,1,0,1,0,0,0,0,0,3,a1
autumn,6,8,2,1,0,1,0,0,0,0,0,3,a1
away,4,8,2,1,0,1,0,0,0,0,0,15,a1
baby,4,9,2,1,0,1,0,0,0,0,0,4,a1
back,4,6,1,1,0,1,0,0,0,0,0,69,a1
bad,3,6,1,1,0,1,0,0,0,0,0,5,a1
bag,3,6,1,1,0,1,0,0,0,0,0,26,a1
ball,4,7,1,1,0,1,0,0,0,0,0,28,a1
banana,6,10,3,1,0,1,0,0,0,0,0,1,a1
band,4,7,1,1,0,1,0,0,0,0,0,21,a1
bank,4,7,1,1,0,1,0,0,0,0,0,12,a1
bath,4,7,1,1,0,1,0,0,0,0,0,10,a1
bathroom,8,11,2,2,0,2,0,0,0,0,0,55,a1
be,2,6,#N/A,1,0,1,0,0,0,0,0,3,a1
beach,5,9,1,1,0,1,0,0,0,0,0,4,a1
beautiful,9,13,3,2,0,1,1,0,3,0,343,7,a1
because,7,8,2,1,0,1,0,0,0,0,0,1,a1
become,6,8,2,1,0,1,0,0,0,0,0,4,a1
bed,3,6,1,1,0,1,0,0,0,0,0,34,a1
bedroom,7,10,2,2,0,2,0,0,0,0,0,79,a1
beer,4,7,1,1,0,1,0,0,0,0,0,4,a1
before,6,8,2,1,0,1,0,0,0,0,0,2,a1
begin,5,8,2,1,0,1,0,0,0,0,0,2,a1
beginning,9,10,3,1,0,1,0,0,0,0,0,2,a1
behind,6,11,2,1,0,1,0,0,0,0,0,2,a1
believe,7,9,2,1,0,1,0,0,0,0,0,12,a1
below,5,9,2,1,0,1,0,0,0,0,0,1,a1
best,4,7,1,1,0,1,0,0,0,0,0,12,a1
better,6,7,2,1,0,1,0,0,0,0,0,2,a1
between,7,10,2,1,0,1,0,0,0,0,0,1,a1
bicycle,7,13,3,2,1,1,0,2,0,41,0,19,a1
big,3,6,1,1,0,1,0,0,0,0,0,6,a1
bike,4,8,1,1,0,1,0,0,0,0,0,2,a1
bill,4,6,1,1,0,1,0,0,0,0,0,15,a1
bird,4,7,1,1,0,1,0,0,0,0,0,22,a1
birthday,8,11,2,2,0,2,0,0,0,0,0,46,a1
black,5,7,1,1,0,1,0,0,0,0,0,27,a1
blonde,6,8,1,1,0,1,0,0,0,0,0,1,a1
blue,4,7,1,1,0,1,0,0,0,0,0,18,a1
boat,4,8,1,1,0,1,0,0,0,0,0,26,a1
body,4,7,2,1,0,1,0,0,0,0,0,18,a1
book,4,6,1,1,0,1,0,0,0,0,0,53,a1
boot,4,7,1,1,0,1,0,0,0,0,0,11,a1
bored,5,7,#N/A,1,0,1,0,0,0,0,0,9,a1
boring,6,9,2,1,0,1,0,0,0,0,0,9,a1
born,4,7,1,1,0,1,0,0,0,0,0,12,a1
both,4,8,1,1,0,1,0,0,0,0,0,1,a1
bottle,6,9,2,1,0,1,0,0,0,0,0,5,a1
box,3,7,1,1,0,1,0,0,0,0,0,27,a1
boy,3,7,1,1,0,1,0,0,0,0,0,21,a1
boyfriend,9,12,2,2,0,2,0,0,0,0,0,34,a1
bread,5,7,1,1,0,1,0,0,0,0,0,12,a1
break,5,9,1,1,0,1,0,0,0,0,0,34,a1
breakfast,9,11,2,2,0,2,0,0,0,0,0,46,a1
bring,5,7,1,1,0,1,0,0,0,0,0,2,a1
brother,7,8,2,1,0,1,0,0,0,0,0,6,a1
brown,5,9,1,1,0,1,0,0,0,0,0,6,a1
build,5,7,1,1,0,1,0,0,0,0,0,13,a1
building,8,9,2,1,0,1,0,0,0,0,0,13,a1
bus,3,6,1,1,0,1,0,0,0,0,0,6,a1
business,8,9,2,1,0,1,0,0,0,0,0,6,a1
busy,4,7,2,1,0,1,0,0,0,0,0,6,a1
but,3,6,1,1,0,1,0,0,0,0,0,1,a1
butter,6,7,2,1,0,1,0,0,0,0,0,10,a1
buy,3,7,1,1,0,1,0,0,0,0,0,2,a1
by,2,7,#N/A,1,0,1,0,0,0,0,0,9,a1
bye,3,7,1,1,0,1,0,0,0,0,0,2,a1
cafe,4,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
cake,4,8,1,1,0,1,0,0,0,0,0,12,a1
call,4,7,1,1,0,1,0,0,0,0,0,10,a1
camera,6,8,3,1,0,1,0,0,0,0,0,4,a1
can,3,6,1,1,0,1,0,0,0,0,0,9,a1
cannot,6,#N/A,#N/A,2,0,2,0,0,0,0,0,13,a1
capital,7,11,3,2,0,1,1,0,2,0,1431,12,a1
car,3,6,1,1,0,1,0,0,0,0,0,14,a1
card,4,7,1,1,0,1,0,0,0,0,0,7,a1
career,6,9,2,1,0,1,0,0,0,0,0,3,a1
carrot,6,8,2,1,0,1,0,0,0,0,0,2,a1
carry,5,7,2,1,0,1,0,0,0,0,0,10,a1
cat,3,6,1,1,0,1,0,0,0,0,0,23,a1
cent,4,7,1,1,0,1,0,0,0,0,0,1,a1
centre,6,8,#N/A,1,0,1,0,0,0,0,0,4,a1
century,7,12,3,1,0,1,0,0,0,0,0,1,a1
chair,5,9,1,1,0,1,0,0,0,0,0,10,a1
change,6,13,1,1,0,1,0,0,0,0,0,17,a1
chart,5,9,1,1,0,1,0,0,0,0,0,4,a1
cheap,5,9,1,1,0,1,0,0,0,0,0,7,a1
check,5,8,1,1,0,1,0,0,0,0,0,15,a1
cheese,6,9,1,1,0,1,0,0,0,0,0,4,a1
chicken,7,10,2,2,0,1,1,0,2,0,204,6,a1
child,5,11,1,1,0,1,0,0,0,0,0,16,a1
chocolate,9,11,3,1,0,1,0,0,0,0,0,1,a1
choose,6,9,1,1,0,1,0,0,0,0,0,4,a1
cinema,6,9,3,1,0,1,0,0,0,0,0,4,a1
city,4,7,2,1,0,1,0,0,0,0,0,3,a1
class,5,8,1,1,0,1,0,0,0,0,0,27,a1
classroom,9,12,2,2,0,2,0,0,0,0,0,72,a1
clean,5,8,1,1,0,1,0,0,0,0,0,10,a1
climb,5,9,1,1,0,1,0,0,0,0,0,2,a1
clock,5,7,1,1,0,1,0,0,0,0,0,5,a1
close,5,#N/A,#N/A,1,0,1,0,0,0,0,0,16,a1
clothes,7,10,1,1,0,1,0,0,0,0,0,24,a1
club,4,7,1,1,0,1,0,0,0,0,0,8,a1
coat,4,8,1,1,0,1,0,0,0,0,0,14,a1
coffee,6,7,2,1,0,1,0,0,0,0,0,3,a1
cold,4,9,1,1,0,1,0,0,0,0,0,5,a1
college,7,10,2,1,0,1,0,0,0,0,0,3,a1
colour,6,7,#N/A,1,0,1,0,0,0,0,0,15,a1
come,4,6,1,1,0,1,0,0,0,0,0,17,a1
common,6,8,2,1,0,1,0,0,0,0,0,9,a1
company,7,10,3,2,0,1,1,0,1,0,2486,9,a1
compare,7,10,2,1,0,1,0,0,0,0,0,9,a1
complete,8,11,2,1,0,1,0,0,0,0,0,7,a1
computer,8,12,3,2,0,1,1,0,2,0,2274,5,a1
concert,7,#N/A,#N/A,1,0,1,0,0,0,0,0,7,a1
conversation,12,15,4,2,0,1,1,0,3,0,1599,6,a1
cook,4,6,1,1,0,1,0,0,0,0,0,9,a1
cooking,7,8,2,1,0,1,0,0,0,0,0,9,a1
cool,4,7,1,1,0,1,0,0,0,0,0,9,a1
correct,7,9,2,1,0,1,0,0,0,0,0,14,a1
cost,4,7,1,1,0,1,0,0,0,0,0,5,a1
could,5,6,1,1,0,1,0,0,0,0,0,1,a1
country,7,9,2,1,0,1,0,0,0,0,0,10,a1
course,6,7,1,1,0,1,0,0,0,0,0,5,a1
cousin,6,8,2,1,0,1,0,0,0,0,0,3,a1
cow,3,7,1,1,0,1,0,0,0,0,0,21,a1
cream,5,8,1,1,0,1,0,0,0,0,0,7,a1
create,6,11,2,1,0,1,0,0,0,0,0,12,a1
culture,7,10,2,1,0,1,0,0,0,0,0,20,a1
cup,3,6,1,1,0,1,0,0,0,0,0,9,a1
customer,8,10,3,2,0,1,1,0,2,0,2274,7,a1
cut,3,6,1,1,0,1,0,0,0,0,0,23,a1
dad,3,6,1,1,0,1,0,0,0,0,0,3,a1
dance,5,8,1,1,0,1,0,0,0,0,0,3,a1
dancer,6,9,2,2,0,1,1,0,2,0,2274,3,a1
dancing,7,10,2,1,0,1,0,0,0,0,0,3,a1
dangerous,9,15,3,2,0,1,1,0,4,0,617,4,a1
dark,4,7,1,1,0,1,0,0,0,0,0,9,a1
date,4,8,1,1,0,1,0,0,0,0,0,11,a1
daughter,8,8,2,1,0,1,0,0,0,0,0,5,a1
day,3,7,1,1,0,1,0,0,0,0,0,35,a1
dear,4,7,1,1,0,1,0,0,0,0,0,10,a1
december,8,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
decide,6,10,2,1,0,1,0,0,0,0,0,14,a1
delicious,9,10,3,1,0,1,0,0,0,0,0,3,a1
describe,8,12,2,2,1,1,0,2,0,275,0,42,a1
description,11,13,3,3,1,1,1,2,3,275,1599,42,a1
design,6,10,2,1,0,1,0,0,0,0,0,5,a1
desk,4,7,1,1,0,1,0,0,0,0,0,2,a1
detail,6,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
dialogue,8,12,3,2,1,1,0,3,0,25,0,215,a1
dictionary,10,12,4,3,0,1,2,0,6,0,1955,39,a1
