Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
verb,7,3,4,3,3,0,2747961,395,7.745098039,360,9.4409,350,0.0389,118,3.8091,116,0.0049,299,8.4904,296,0.0293,2.54,1.45,0.962962963,1,27,244,0.922131148,1115.408889,687.881986,-0.44059969,0.683821901,7522,378,0.997354497,4164,3358,7,10,3,1,0,1,0,0,0,0,0,2,3
noun,2,2,1,2,2,2,52004289,975,19.11764706,3418,89.6365,3194,0.3552,1195,38.5755,1169,0.0495,3491,99.1301,3395,0.3361,1.81,0.88,1,0,27,260,0.969230769,980.718254,537.4146203,-0.644052409,0.533701504,3106,404,0.995049505,6070,-2964,7,11,4,2,0,1,1,0,3,0,580,11,1
adjective,4,1,2,0,0,1,109389038,8148,159.7647059,14546,381.4663,13481,1.4991,5197,167.7632,5154,0.2184,9321,264.6782,8916,0.8826,2.38,1.42,0.962962963,1,27,216,0.944444444,932.75,389.1211156,-0.664206511,0.513627633,5488,434,0.997695853,1798,3690,4,10,2,1,0,1,0,0,0,0,0,11,1
verb,1,2,1,0,1,1,912065,24,0.470588235,83,2.1767,78,0.0087,32,1.033,31,0.0013,99,2.8112,90,0.0089,2.19,1.17,1,0,26,292,0.815068493,1172.008403,751.6490057,-0.452798839,0.681452502,16667,397,0.992443325,9315,7352,7,9,3,1,0,1,0,0,0,0,0,3,4
noun,2,3,1,2,1,0,9397315,370,7.254901961,538,14.109,432,0.048,184,5.9397,179,0.0076,740,21.013,639,0.0633,3.41,1.39,1,0,27,243,0.946502058,1008.352174,456.0608463,-0.577259952,0.492142902,5309,386,0.997409326,3810,1499,8,10,3,2,0,1,1,0,3,0,1599,5,4
adverb,7,2,6,0,0,0,1226734006,20769,407.2352941,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,3.7014,89695,2546.9708,80193,7.938,1.77,0.95,1,0,26,241,0.995850622,882.9333333,470.036351,-0.723521762,0.540342022,230,405,1,52,178,5,9,2,1,0,1,0,0,0,0,0,10,0
preposition,7,2,0,0,0,0,1226734006,164260,3220.784314,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,3.7014,89695,2546.9708,80193,7.938,1.77,0.95,1,0,26,241,0.995850622,882.9333333,470.036351,-0.723521762,0.540342022,230,405,1,52,178,5,9,2,1,0,1,0,0,0,0,0,10,0
adverb,4,1,2,0,0,2,141894620,608,11.92156863,8776,230.1491,8296,0.9225,1276,41.1903,1265,0.0536,3579,101.6289,3470,0.3435,3.33,1.34,1,0,24,226,0.986725664,846.6008969,317.4310273,-0.777586898,0.369373207,1191,433,0.997690531,1816,-625,5,7,2,1,0,1,0,0,0,0,0,3,0
preposition,4,1,0,0,0,0,141894620,1770,34.70588235,8776,230.1491,8296,0.9225,1276,41.1903,1265,0.0536,3579,101.6289,3470,0.3435,3.33,1.34,1,0,24,226,0.986725664,846.6008969,317.4310273,-0.777586898,0.369373207,1191,433,0.997690531,1816,-625,5,7,2,1,0,1,0,0,0,0,0,3,0
adverb,3,2,2,0,0,0,14837382,250,4.901960784,583,15.2891,544,0.0605,339,10.9432,330,0.014,542,15.3906,527,0.0522,2.72,1.43,0.961538462,1,26,274,0.97080292,1025.12782,557.7470099,-0.593897712,0.562667718,2955,397,0.994962217,6437,-3482,6,9,2,1,0,1,0,0,0,0,0,1,1
