Word,Pos,N_meanings,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,N_unknown,N_participants,rt_correct_std,rt_zscore_correct_mean,rank_L2,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,level
abandon,verb,7,4,3,3,0,2747961,395,7.745098039,360,9.4409,350,0.0389,118,3.8091,116,0.0049,299,8.4904,296,0.0293,2.54,1,27,687.881986,-0.44059969,7522,4164,3358,7,10,3,1,0,0,0,0,0,0,b2
ability,noun,2,1,2,2,2,52004289,975,19.11764706,3418,89.6365,3194,0.3552,1195,38.5755,1169,0.0495,3491,99.1301,3395,0.3361,1.81,0,27,537.4146203,-0.644052409,3106,6070,-2964,7,11,4,2,0,1,0,3,0,580,a2
able,adjective,4,2,0,0,1,109389038,8148,159.7647059,14546,381.4663,13481,1.4991,5197,167.7632,5154,0.2184,9321,264.6782,8916,0.8826,2.38,1,27,389.1211156,-0.664206511,5488,1798,3690,4,10,2,1,0,0,0,0,0,0,a2
abolish,verb,1,1,0,1,1,912065,24,0.470588235,83,2.1767,78,0.0087,32,1.033,31,0.0013,99,2.8112,90,0.0089,2.19,0,26,751.6490057,-0.452798839,16667,9315,7352,7,9,3,1,0,0,0,0,0,0,c1
abortion,noun,2,1,2,1,0,9397315,370,7.254901961,538,14.109,432,0.048,184,5.9397,179,0.0076,740,21.013,639,0.0633,3.41,0,27,456.0608463,-0.577259952,5309,3810,1499,8,10,3,2,0,1,0,3,0,1599,c1
about,adverb,7,6,0,0,0,1226734006,20769,407.2352941,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,3.7014,89695,2546.9708,80193,7.938,1.77,0,26,470.036351,-0.723521762,230,52,178,5,9,2,1,0,0,0,0,0,0,a1
about,preposition,7,0,0,0,0,1226734006,164260,3220.784314,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,3.7014,89695,2546.9708,80193,7.938,1.77,0,26,470.036351,-0.723521762,230,52,178,5,9,2,1,0,0,0,0,0,0,a1
above,adverb,4,2,0,0,2,141894620,608,11.92156863,8776,230.1491,8296,0.9225,1276,41.1903,1265,0.0536,3579,101.6289,3470,0.3435,3.33,0,24,317.4310273,-0.777586898,1191,1816,-625,5,7,2,1,0,0,0,0,0,0,a1
above,preposition,4,0,0,0,0,141894620,1770,34.70588235,8776,230.1491,8296,0.9225,1276,41.1903,1265,0.0536,3579,101.6289,3470,0.3435,3.33,0,24,317.4310273,-0.777586898,1191,1816,-625,5,7,2,1,0,0,0,0,0,0,a1
abroad,adverb,3,2,0,0,0,14837382,250,4.901960784,583,15.2891,544,0.0605,339,10.9432,330,0.014,542,15.3906,527,0.0522,2.72,1,26,557.7470099,-0.593897712,2955,6437,-3482,6,9,2,1,0,0,0,0,0,0,a2
